问题,上级,等级
执法办案场所管理使用,,原则性问题
监控全覆盖,执法办案场所管理使用,原则性问题
视频监控未能全覆盖,监控全覆盖,原则性问题
场所规范设置,执法办案场所管理使用,原则性问题
询问室、讯问室、候问室、约束室不规范,场所规范设置,原则性问题
人员带入及检查,执法办案场所管理使用,原则性问题
"未能进行人身检查和信息采集,四个一律标准",人员带入及检查,原则性问题
安全检查、信息采集、随身物品、涉案财物、行动轨迹等没有进行精确记录,人员带入及检查,原则性问题
涉案人员是否携带违禁物品没有记录在案,人员带入及检查,原则性问题
讯询室,执法办案场所管理使用,原则性问题
"讯问、询问存在言辞过激,动作幅度过大过激等现象",讯询室,原则性问题
存在单人讯询问现象,讯询室,原则性问题
询讯问/继续盘问超时限问题,讯询室,原则性问题
同案人员未能进行分布讯、询问,讯询室,原则性问题
存在同一地点同一办案人员询问多人问题（非监护人）,讯询室,原则性问题
辅警单独进行讯询问、辨认等活动,讯询室,原则性问题
存在办案区外进行讯询问情况,讯询室,原则性问题
等候及看护,执法办案场所管理使用,原则性问题
涉案人员单独滞留办案区,等候及看护,原则性问题
被继续盘问等人员无人看管,等候及看护,原则性问题
等候讯询问看护不力,等候及看护,原则性问题
值受睡觉等失职行为,等候及看护,原则性问题
男女同室混押,等候及看护,原则性问题
同案人员同在一室看管,等候及看护,原则性问题
值守人员脱空岗,等候及看护,原则性问题
长时间滞留人员未对其进行巡查巡视,等候及看护,原则性问题
办案区大门长时间呈开启状态,等候及看护,原则性问题
"等待询问时,侯问室、等待室、约束室门未关闭",等候及看护,原则性问题
涉案人员随身物品及涉案物品保管,执法办案场所管理使用,原则性问题
随身物品未及时放置在保管橱内,涉案人员随身物品及涉案物品保管,原则性问题
涉案物品未及时送物品保管室,涉案人员随身物品及涉案物品保管,原则性问题
物品保管室物品随意堆放、无序放置等不规范现象,涉案人员随身物品及涉案物品保管,原则性问题
其他安全隐患,执法办案场所管理使用,原则性问题
信息采集、讯问、询问室等物品及资料无序堆放未及时归整保管,其他安全隐患,原则性问题
放置与功能房用途不符合其他物品,其他安全隐患,原则性问题
办案区线路裸露等存在漏电及易破坏隐患,其他安全隐患,原则性问题
办案区有火灾隐患,其他安全隐患,原则性问题
办案区放置易致伤致残等重大安全隐患物品,其他安全隐患,原则性问题
非因办案需要非警务人员长期滞留、逗留在办案区内,其他安全隐患,原则性问题
违规使用警械具,其他安全隐患,原则性问题
其他不规范行为或隐患问题,其他安全隐患,原则性问题
值班备勤,,原则性问题
迟到早退,值班备勤,原则性问题
重点查纠迟到、早退等值班不在位、在岗不履职等不规范行为,迟到早退,原则性问题
脱空睡岗,值班备勤,原则性问题
"发现值班人员脱空岗,确定此种违纪违规行为",脱空睡岗,原则性问题
"睡岗问题,以发现问题情况实际判定",脱空睡岗,原则性问题
非警务活动,值班备勤,一般性问题
值班时间看电视、电影,非警务活动,一般性问题
在办公电脑上玩游戏、上网购物、炒股等,非警务活动,一般性问题
玩手游、看视频、购物等从事非警务活动,非警务活动,一般性问题
长时间玩手机,非警务活动,一般性问题
工作期间长时间利用对外公布接警、求助电话接待与工作无关电话,非警务活动,一般性问题
内部安全防范,值班备勤,原则性问题
派出所未领用枪支武器,内部安全防范,原则性问题
派出所未安排每日武装值守人员,内部安全防范,原则性问题
武装值守人员不在位,内部安全防范,原则性问题
武装值守人员无持枪资格,内部安全防范,原则性问题
武装值守人员未携带必带物品,内部安全防范,原则性问题
"武装值守人员将武器放在其他场所,人枪分离",内部安全防范,原则性问题
值班室、综合大厅未配备安全防护装备,内部安全防范,原则性问题
"值班人员安全警惕意识不高,群众随意进出无人过问",内部安全防范,原则性问题
"监控区域内显示驻地大门等安全防范不到位,社会人员、车辆随意出入无防护措施",内部安全防范,原则性问题
辅警单独办理业务,值班备勤,一般性问题
辅警人员单独办理户籍业务,辅警单独办理业务,一般性问题
户籍窗口无正式民警代班等,辅警单独办理业务,一般性问题
其他安全隐患或服务群众不规范问题,值班备勤,原则性问题
其他安全隐患或服务群众不规范问题,其他安全隐患或服务群众不规范问题,原则性问题
公安监所安全管理,,原则性问题
办案提审会见区管理使用,公安监所安全管理,原则性问题
单独讯询问,办案提审会见区管理使用,原则性问题
未在指定场所安排回见,办案提审会见区管理使用,原则性问题
打骂体罚虐待被询问人,办案提审会见区管理使用,原则性问题
在押人员从监室到审讯室、会见室途中必须有民警押解,办案提审会见区管理使用,原则性问题
未制止在拘、在押人员自虐,办案提审会见区管理使用,原则性问题
为在押人员提供香烟、传递物品、通风报信等违规情况,办案提审会见区管理使用,原则性问题
巡查巡视,公安监所安全管理,原则性问题
何时何处什么着装人员正在巡视及巡视间隔情况,巡查巡视,原则性问题
未严格落实巡视机制,巡查巡视,原则性问题
械具使用,公安监所安全管理,原则性问题
违规使用警械具,械具使用,原则性问题
长时间将送押、在押人员吊拷等使用械具不规范情况,械具使用,原则性问题
其他打骂体罚虐待在押人员情况,械具使用,原则性问题
在看守所医务室为在押人员治疗未使用械具,械具使用,原则性问题
留所服刑人员管理使用,公安监所安全管理,原则性问题
看守所服刑人员管松散、使用不规范,留所服刑人员管理使用,原则性问题
